EMSL Dataset ID (NMDC omics_processing ID),Omics Type,Researcher Sample Name,NMDC biosample ID (IGSN)
723571,Organic Matter Characterization,115,IEWFS0001
723572,Organic Matter Characterization,115,IEWFS0001
724053,Organic Matter Characterization,115,IEWFS0001
738612,Organic Matter Characterization,115,IEWFS0001
738613,Organic Matter Characterization,115,IEWFS0001
738614,Organic Matter Characterization,115,IEWFS0001
738615,Organic Matter Characterization,115,IEWFS0001
738616,Organic Matter Characterization,115,IEWFS0001
739456,Organic Matter Characterization,115,IEWFS0001
739457,Organic Matter Characterization,115,IEWFS0001
743556,Organic Matter Characterization,115,IEWFS0001
747945,Organic Matter Characterization,115,IEWFS0001
749024,Organic Matter Characterization,115,IEWFS0001
749037,Organic Matter Characterization,115,IEWFS0001
769662,Lipidomics,115,IEWFS0001
769688,Lipidomics,115,IEWFS0001
724054,Organic Matter Characterization,116,IEWFS0002
724405,Organic Matter Characterization,116,IEWFS0002
724406,Organic Matter Characterization,116,IEWFS0002
738617,Organic Matter Characterization,116,IEWFS0002
738618,Organic Matter Characterization,116,IEWFS0002
738619,Organic Matter Characterization,116,IEWFS0002
738620,Organic Matter Characterization,116,IEWFS0002
738621,Organic Matter Characterization,116,IEWFS0002
739458,Organic Matter Characterization,116,IEWFS0002
743557,Organic Matter Characterization,116,IEWFS0002
747946,Organic Matter Characterization,116,IEWFS0002
749025,Organic Matter Characterization,116,IEWFS0002
749038,Organic Matter Characterization,116,IEWFS0002
769664,Lipidomics,116,IEWFS0002
769702,Lipidomics,116,IEWFS0002
723574,Organic Matter Characterization,117,IEWFS0003
723575,Organic Matter Characterization,117,IEWFS0003
724055,Organic Matter Characterization,117,IEWFS0003
738622,Organic Matter Characterization,117,IEWFS0003
738623,Organic Matter Characterization,117,IEWFS0003
738624,Organic Matter Characterization,117,IEWFS0003
738625,Organic Matter Characterization,117,IEWFS0003
738626,Organic Matter Characterization,117,IEWFS0003
738627,Organic Matter Characterization,117,IEWFS0003
743558,Organic Matter Characterization,117,IEWFS0003
747947,Organic Matter Characterization,117,IEWFS0003
749026,Organic Matter Characterization,117,IEWFS0003
