Sample_Identifier,Parent Sample ID,IGSN-ParentSample,ITS_SPID,GOLD_Study_ID,GOLD_Biosample_ID,GOLD_SEQUENCING_PROJECT_ID,EMSL DMS sample number,EMSL data type,SAMPLE_COLLECTION_SITE,ECOSYSTEM,ECOSYSTEM_CATEGORY,ECOSYSTEM_TYPE,ECOSYSTEM_SUBTYPE,SPECIFIC_ECOSYSTEM,HABITAT,GEOGRAPHIC_LOCATION,LATITUDE,LONGITUDE,DEPTH,SAMPLE_COLLECTION_DATE,ELEVATION,PROJECT_NAME,SEQUENCING_STRATEGY_FULL,PH,SALINITY_CONCENTRATION,SAMPLE_VOLUME,SOIL_CURR_LAND_USE,SOIL_CURR_VEGETATION,SOIL_CURR_VEGETATION_METHOD,SOIL_PREV_LAND_USE,SOIL_PREV_LAND_USE_METH,SOIL_CROP_ROTATION,SOIL_AGROCHEM_ADDITION,SOIL_TILLAGE,SOIL_FIRE,SOIL_FLOODING,SOIL_EXTREME_EVENT,SOIL_HORIZON,SOIL_HORIZON_METHOD,SOIL_SIEVING,SOIL_WATER_CONTENT,SOIL_WATER_CONTENT_SOIL_METH,SAMPLE_WEIGHT_DNA_EXT,SOIL_POOL_DNA_EXTRACTS,SOIL_STORAGE_CONDITION,SOIL_LINK_CLIMATE_INFO,SOIL_MEAN_ANNUAL_TEMP,SOIL_MEAN_SEASONAL_TEMP,SOIL_MEAN_ANNUAL_PRECPT,SOIL_MEAN_SEASONAL_PRECPT,SOIL_LINK_CLASS_INFO,SOIL_FAO_CLASS,SOIL_LOCAL_CLASS,SOIL_LOCAL_CLASS_METHOD,SOIL_TYPE,SOIL_TYPE_METHOD,SOIL_SLOPE_GRADIENT,SOIL_SLOPE_ASPECT,SOIL_PROFILE_POSITION,SOIL_DRAINAGE_CLASS,SOIL_TEXTURE,SOIL_TEXTURE_METHOD,SOIL_PH_METHOD,TOT_ORG_CARBON,SOIL_TOT_ORG_C_METHOD,TOT_NITROGEN,SOIL_TOT_N_METHOD,SOIL_MICROBIAL_BIOMASS,SOIL_MICROBIAL_BIOMASS_METHOD,SOIL_LINK_ADDIT_ANALYS,SOIL_SALINITY_METHOD,SOIL_HEAVY_METALS,SOIL_HEAVY_METALS_METHOD,SOIL_ALUMINIUM_SAT,SOIL_ALUMINIUM_SAT_METHOD,ISOLATION_PUBLICATION_ID,SOIL_MISC_PARAM,NCBI_BIOPROJECT_ACCESSION,NCBI_BIOSAMPLE_ACCESSION,ITS_PROPOSAL_ID,ITS_PROJECT_NAME,ITS_SAMPLE_ID,ENV_PACKAGE,STUDY_NAME,STUDY_PI,STUDY_PI_EMAIL,SAMPLE_ISOLATION_COMMENTS,LAT_LONG_INFERRED,PRESSURE,NITRATE_CONCENTRATION,ITS_GROWTH_CONDITIONS,ELEVATION2,DEPTH2,BIOSAMPLE_NAME,ADD_DATE,MOD_DATE,DESCRIPTION,SAMPLING_STRATEGY,SAMPLE_BIOMASS,SAMPLE_CONTACT_NAME,SAMPLE_CONTACT_EMAIL,IS_PUBLIC,NCBI_TAXONOMY_ID,COMMUNITY,LOCATION,GROWTH_CONDITIONS,CHLOROPHYLL_CONCENTRATION,OXYGEN_CONCENTRATION,ECOSYSTEM_PATH_ID,NCBI_TAXONOMY_NAME,TEMPERATURE_RANGE,SUBSURFACE_DEPTH,SUBSURFACE_DEPTH2,SOLUBLE_IRON_MICROMOL,H2S_MILLIMOL,H2S_PRESENT,OXYGEN_PRESENCE,METHANE_CONC_MILLIMOL,ISOLATION_PUBLICATION_ID,BICARBONATE_MILLIMOL,PROPORT_WOA_SILICATE,PROPORT_WOA_PHOSPHATE,Soil_SIZE_FRAC_LOW,Soil_SIZE_FRAC_UP,samp_mat_process,samp_size
M,,,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source_mat_id,,,,,,,,,,,,,,,,geo_loc_name,lat_lon,lat_lon,depth,collection_date,elev,project_name,investigation_type,ph,extreme_salinity,samp_vol_we_dna_ext,cur_land_use,cur_vegetation,cur_vegetation_meth,previous_land_use,previous_land_use_meth,crop_rotation,agrochem_addition,tillage,fire,flooding,extreme_event,horizon,horizon_meth,sieving,water_content,water_content_soil_meth,samp_vol_we_dna_ext,pool_dna_extracts,store_cond,link_climate_info,annual_temp,season_temp,annual_precpt,season_precpt,link_class_info,fao_class,local_class,local_class_meth,soil_type,soil_type_meth,slope_gradient,slope_aspect,profile_position,drainage_class,texture,texture_meth,ph_meth,tot_org_carb,tot_org_c_meth,tot_nitro_content,tot_nitro_content_meth,microbial_biomass,microbial_biomass_meth,link_addit_analys,salinity_meth,heavy_metals,heavy_metals_meth,al_sat,al_sat_meth,isol_growth_condt,misc_param,,,,,,env_package,,,,,,,,,,,,,,,samp_collect_device,,,,,,,,,,,,,,,,,,,,,ref_biomaterial,,,,size_frac,size_frac,samp_mat_process,samp_size
A unique identifier assigned to a material sample by the reseacher. Shipped sample information and identifier,Parent sample ID from reseacher,Unique ID assigned to parent sample (IGSN or ARK),Sequencing project ID,Study ID in the GOLD database,Unique ID assigned to the Biosample in the GOLD database,Sequencing project ID of the sample available in GOLD database,DMS data set identifiers,Data target from EMSL,"The site (ecological, not geological) from where the sample was collected",Broad ecosystem of the sample (Engineered / Host-associated / Environmental),The categoy of the sample ecosystem (ex: air/aquatic/terrestrial),Type of the sample ecosystem (ex: soil/cave),Subtype of the sample ecosystem (ex: loam/sand),Specific ecosystem of the sample (Agricultural soil / forest soil),The habitat of the sample,The geographical origin of the sample as defined by the country or sea name followed by specific region name. ,The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system,The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system,"Depth is defined as the vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples",The date of sample collection,"Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit",Name of the project within which the sequencing was organized,"Nucleic Acid Sequence Report is the root element of all MIGS/MIMS compliant reports as standardized by Genomic Standards Consortium. This field is either eukaryote,bacteria,virus,plasmid,organelle, metagenome,mimarks-survey, mimarks-specimen, metatranscriptome, single amplified genome, metagenome-assembled genome, or uncultivated viral genome","Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid",Measured salinity,"Volume (ml) of processed sample, or surface area swabbed from sample for DNA extraction",Present state of sample site,"Vegetation classification from one or more standard classification systems, or agricultural crop",Reference or method used in vegetation classification,Previous land use and dates,Reference or method used in determining previous land use and dates,"Whether or not crop is rotated, and if yes, rotation schedule","Addition of fertilizers, pesticides, etc. - amount and time of applications",Note method(s) used for tilling,Historical and/or physical evidence of fire,Historical and/or physical evidence of flooding,Unusual physical events that may have affected microbial populations,Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,Reference or method used in determining the horizon,Collection design of pooled samples and/or sieve size and amount of sample sieved,Water content measurement,Reference or method used in determining the water content of soil,"Weight (g) of processed sample, or surface area swabbed from sample for DNA extraction","Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given",Explain how and for how long the soil sample was stored before DNA extraction,Link to climate resource,Mean annual temperature,Mean seasonal temperature,"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.","The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.",Link to digitized soil maps or other soil classification information,Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups,Soil classification based on local soil classification system,Reference or method used in determining the local soil classification,Soil series name or other lower-level classification,Reference or method used in determining soil series name or other lower-level classification,Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer,"The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.",Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas,Drainage classification from a standard system such as the USDA system,"The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.",Reference or method used in determining soil texture,Reference or method used in determining ph,"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content",Reference or method used in determining total organic carbon,Total nitrogen content of the sample,Reference or method used in determining the total nitrogen,"The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units",Reference or method used in determining microbial biomass,Link to additional analysis results performed on the sample,Reference or method used in determining salinity,Heavy metals present and the frequency of usage; can include multiple heavy metals and concentrations,Reference or method used in determining heavy metals,Aluminum saturation (esp. For tropical soils),Reference or method used in determining Al saturation,"Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material","Any other measurement performed or parameter collected, that is not listed here",NCBI Bioproject accession,NCBI Biosample access of the given sample,Proposal ID,The name of the sequencing project,Sample iD,Name of the environmental package used for reporting of measurements and observations obtained,Name of the stdy in the GOLD database,Name of the study PI,E-mail of the PI,Any other information about the sample,Enter verified if the geographic coordinates were actually captured at sampling event. If determined after sampling even by Google maps etc. enter inferred.,"Pressure to which the sample is subject to, in atmospheres",Concentration of nitrate in the sample,Growth condition of the sample,"If the elevation is in range, the second value comes here.","If depth is in range, the second value comes here",Name of the biosample given in the GOLD database,Added date in GOLD database,Modified date in GOLD database,Description of the biosample,The method or device employed for collecting the sample,Mass of the living component of sample,Name of the contact person for the sample,E-mail of the contact person for the sample,Is the sample visibility made public or kept private,Sample taxonomy ID given in NCBI,Community of organisms samples from the sample (bacterial / viral or microbial communities),The location from where the sample was collected,if the sample was subjected to some experimental conditions (for metatranscriptmic study).,Concentration of chlorophyll in the sample,Oxygen concentration in the sample,Ecosystem path ID for the sample in GOLD database,Taxonomy name for the biosample,Temperature of the sample at the time of sampling,The subsurface depth of the sample,"If subsurface is in range, give the second value here.",Concentration of the soluble iron in the sample,Concentration of Hydrogen sulfide in the sample,The presence of Hydrogen sulfide (Yes or No),The presence of oxygen,Concentration of Methane,"Primary publication if isolated before genome publication; otherwise, primary genome report",Concentration of Bicarbonate,Concentration of silicate,Concentration of phosphate,Filtering pore size used in sample preparation,Filtering pore size used in sample preparation,"Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI","Amount or size of sample (volume, mass or area) that was collected"
{text},text,text,integer,ID,text,ID,integer,,text,text,text,text,text,text,text,country or sea name (INSDC or GAZ):region(GAZ):specific location name. {term}:{term}:{text},decimal degree. {float},decimal degree. {float},measurement value in meter. {float},Month-Day-Year,measurement value in meter. {float},text,enumeration,measurement value. {float},measurement value in millisiemens per meter. {float},measurement value in millliter. {float},enumeration,current vegetation type. {text},{PMID}|{DOI}|{URL},land use name;date. {text};{timestamp},{PMID}|{DOI}|{URL},crop rotation status;schedule. {boolean};{Rn/start_time/end_time/duration},"agrochemical name;agrochemical amount in gram, mole per liter, milligram per liter;timestamp. {text};{float} {unit};{timestamp}",enumeration,date. {timestamp},date. {timestamp},date. {timestamp},enumeration,{PMID}|{DOI}|{URL},design name and/or size;amount. {{text}|{float} {unit}};{float} {unit},measurement value in gram per gram or cubic centimeter per cubic centimeter. {float},{PMID}|{DOI}|{URL},measurement value in gram. {float} {unit},pooling status;number of pooled extracts. {boolean};{integer},storage condition type;duration. {text};{duration},{PMID}|{DOI}|{URL},measurement value in Celsius. {float},measurement value in Celsius. {float},measurement value in millimeter. {float},measurement value in millimeter. {float},{PMID}|{DOI}|{URL},enumeration,local classification name. {text},{PMID}|{DOI}|{URL},soil type name. {text},{PMID}|{DOI}|{URL},measurement value in percentage. {float},measurement value in degree. {float},enumeration,enumeration,measurement value. {float} {unit},{PMID}|{DOI}|{URL},{PMID}|{DOI}|{URL},measurement value in gram Carbon per kilogram sample material. {float},{PMID}|{DOI}|{URL},"measurement value in microgram per liter, micromole per liter, milligram per liter. {float} {unit}",{PMID}|{DOI}|{URL},"measurement value in ton, kilogram, gram per kilogram soil. {float} {unit}",{PMID}|{DOI}|{URL},{PMID}|{DOI}|{URL},{PMID}|{DOI}|{URL},heavy metal name;measurement value in microgram per gram. {text};{float},{PMID}|{DOI}|{URL},measurement value in percentage. {float},{PMID}|{DOI}|{URL},{PMID}|{DOI}|{URL},parameter name;measurement value. {text};{float} {unit},Accession number,Accession number,integer,text,integer,enumeration,text,text,E-mail address,text,enumeration,measurement value in atmosphere. {float},"measurement value in milligram per liter, parts per million. {float} {unit}",text,measurement value in meter. {float},measurement value in meter. {float},text,timestamp,timestamp,text,text,"biomass type;measurement value in ton, kilogram, gram. {text};{float} {unit}",text,email address,Yes / No,integer,text,text,text,measurement value in milligram per cubic meter. {float},measurement value in micromole per kilogram. {float},integer,text,measurement value. {float} {unit},measurement value in meter. {float},measurement value in meter. {float},measurement value in milligram per kilogram. {float},measurement value in parts per billion. {float},Yes / No,Enumeration,measurement value in parts per billion or parts per million. {float} {unit},{PMID}|{DOI}|{URL},measurement value in parts per billion. {float},measurement value; {float} {unit}; micromole per liter,measurement value; {float} {unit}; micromole per liter,filter size value range. {float}-{float} {unit},filter size value range. {float}-{float} {unit},text or OBI. {text}|{termLabel} {[termID]},"measurement value in millliter, gram, milligram, liter. {float} {unit}"
ER_DNA_115,115,IEWFS0001,1196574,Gs0135149,Gb0191643,Gp0321263,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_115",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518551,SAMN10864388,503568,ER_DNA_115,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_115",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_115,115,IEWFS0001,1238163,Gs0135149,Gb0205601,Gp0396393,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_115",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA621677,SAMN14515558,503568,ER_RNA_115,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_115",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
115,115,IEWFS0001,,,,,747945; 749037; 749024; 743556; 723571; 723572; 724053; 769662; 769688; 738615; 738616; 739457; 738612; 738613; 738614; 739456,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,,,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_116,116,IEWFS0002,1196575,Gs0135149,Gb0191644,Gp0321264,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_116",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518552,SAMN10863953,503568,ER_DNA_116,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_116",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_116,116,IEWFS0002,1238164,Gs0135149,Gb0205602,Gp0396394,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_116",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA621678,SAMN14515917,503568,ER_RNA_116,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_116",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
116,116,IEWFS0002,,,,,747946; 749038; 749025; 743557; 724405; 724054; 724406; 769702; 769664; 738620; 738621; 739458; 738617; 738618; 738619,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
