table	field	mixs_term	mixs_label	mixs_definition	is_map	notes
biosample	gold_id	source_mat_id	source material identifiers	"A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2)."		
biosample	sample_collection_site					
biosample	latitude	lat_lon	geographic location (latitude and longitude)	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system		
biosample	longitude	lat_lon				
biosample	depth	depth	depth	"Depth is defined as the vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples"		
biosample	pH	ph	pH	"Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid"		
biosample	habitat					
biosample	altitude	alt	altitude	"Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"		
biosample	sample_collection_day	collection_date	collection date	"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant"		
biosample	sample_collection_month		collection date			
biosample	sample_collection_year		collection date			
biosample	sample_collection_hour		collection date			
biosample	sample_collection_minute		collection date			
biosample	salinity_concentration	salinity	salinity	"Salinity is the total concentration of all dissolved salts in a water sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater"		
biosample	oxygen_concentration	diss_oxygen	dissolved oxygen	Concentration of dissolved oxygen		
biosample	geographic_location	geo_loc_name	"geographic location (country and/or sea,region)"	"The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)"		
biosample	pressure	pressure	pressure	"Pressure to which the sample is subject to, in atmospheres"		
biosample	nitrate_concentration	nitrate	nitrate	Concentration of nitrate in the sample		
biosample	chlorophyll_concentration	chlorophyll	chlorophyll	Concentration of chlorophyll		
biosample	soil_curr_land_use	cur_land_use	current land use	Present state of sample site		
biosample	soil_curr_vegitation	cur_vegetation	current vegetation	"Vegetation classification from one or more standard classification systems, or agricultural crop"		
biosample	soil_curr_vegitation_method	cur_vegetation_meth	current vegetation method	Reference or method used in vegetation classification 		
biosample	soil_prev_land_use	previous_land_use	history/previous land use	Previous land use and dates		
biosample	soil_prev_land_use_meth	previous_land_use_meth	history/previous land use method	Reference or method used in determining previous land use and dates		
